,,,,f4,f4,f4,f4,m4,m4,m4,m4,,,p4,p4,k4,k4,k4,k4,f4,f4,f4,f4,m4,m4,m4,m4,k4,k4,k4,k4,k4,k4,k4,k4,k4,k4,k4,k4,,,,,p4,p4,,,m4,m4,m4,m4,,,,,,,,,f4,f4,f4,f4,m4,m4,f4,f4,m4,m4,m4,m4,,,,,f4,f4,f4,f4,m4,m4,f4,f4,m4,m4,m4,m4,k4,k4,p4,p4,k4,k4,k4,k4
,,,,a4,a4,a4,a4,o4,o4,o4,o4,k4,k4,,,d4,d4,d4,d4,a4,a4,a4,a4,o4,o4,o4,o4,k4,k4,k4,k4,k4,k4,k4,k4,k4,k4,k4,k4,n3,n3,n3,n3,,,k4,k4,o4,o4,o4,o4,k4,k4,k4,k4,n3,n3,n3,n3,,,,,n3,n3,,,o4,o4,o4,o4,n3,n3,n3,n3,,,,,n3,n3,,,o4,o4,o4,o4,k4,k4,p4,p4,d4,d4,d4,d4
,,,,c2,c2,c2,c2,j2,j2,j2,j2,e3,e3,l3,l3,i2,i2,i2,i2,c2,c2,c2,c2,j2,j2,j2,j2,e3,e3,e3,e3,a3,a3,a3,a3,d3,d3,d3,d3,g3,g3,g3,g3,l3,l3,e3,e3,a3,a3,a3,a3,d3,d3,d3,d3,g2,g2,g2,g2,b2,b2,b2,b2,h2,h2,c2,c2,a3,a3,q3,q3,g2,g2,g2,g2,b2,b2,b2,b2,h2,h2,c2,c2,j2,j2,j2,j2,e3,e3,l3,l3,i2,i2,i2,i2
k4,o4,p4,m4,f4,f4,f4,f4,m4,m4,p4,n4,k5,o5,p4,p4,k4,o4,p4,m4,f4,f4,f4,f4,m4,m4,p4,n4,k5,k5,k5,k5,k5,k5,k5,k5,k5,k5,k5,k5,n5,n5,n5,n5,p5,o5,k5,k5,k5,o5,o5,o5,c4,c4,c4,c4,n4,n4,p4,m4,f4,f4,f4,f4,m4,m4,f4,f4,m4,m4,p4,p4,n4,n4,p4,m4,f4,f4,f4,f4,m4,m4,f4,f4,m4,m4,p4,o5,k5,n4,p4,p4,k4,o4,p4,m4
