,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1:1,11:8,,,,16:13,1:1,,,11:8,8:11,13:16,8:11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1:1,11:8,,,,17:16,1:1,,,11:8,8:11,16:17,8:11
,,,,,,,,,,,,,,
,11:8,17:16,,8:11,,,17:16,16:17,,,11:8,,16:17,8:11
,,,,,,,17:16,,,,11:8,,16:17,8:11
,2:1,,17:8,1:2,,,17:16,,,,,8:17,16:17,
,13:8,,,8:13,,,17:16,,,,,,16:17,
,,1:1,19:16,,,,,1:1,,,19:16,16:19,,16:19
,,,,,,,,,,,,,,
,19:16,1:1,,16:19,,16:19,16:13,1:1,19:16,,,,13:16,
,,13:16,19:16,,,16:19,16:13,16:13,19:16,,,16:19,13:16,
,,,,,,16:19,16:13,,19:16,,,,13:16,
,,,,,,16:19,16:13,,19:16,,,,13:16,
,,1:1,11:8,,,,16:13,1:1,,,11:8,8:11,13:16,8:11
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1:1,11:8,,,,17:16,1:1,,,11:8,8:11,16:17,8:11
,,,,,,,,,,,,,,
,11:8,17:16,,8:11,,,17:16,16:17,,,11:8,,16:17,8:11
,,,,,,,17:16,,,,11:8,,16:17,8:11
,2:1,2:1,17:8,1:2,,1:1,17:16,1:2,1:1,,17:16,8:17,16:17,16:17
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,2:1,2:1,,1:2,,1:1,,1:2,1:1,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,2:1,2:1,19:8,1:2,,1:1,19:16,1:2,1:1,,19:16,8:19,16:19,16:19
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,4:1,,19:8,1:4,,,19:32,,,,,8:19,32:19,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,2:1,19:8,,,,,1:2,,,19:16,8:19,,16:19
,,16:11,,,,,,11:16,,,19:16,,,16:19
,2:1,,17:8,1:2,,,17:16,,,,,8:17,16:17,
,,,,,,,,,,,,,,
,32:13,,,13:32,,,,,,,,,,
,2:1,,,1:2,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,19:16,,,,,,16:19,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,2:1,,19:8,1:2,,,19:16,,,,,8:19,16:19,
,,,,,,,,,,,,,,
,13:8,,,8:13,,,19:16,,,,,,16:19,
,,,,,,,19:16,,,,,,16:19,
,,1:1,13:8,,,,,1:1,,,13:8,8:13,,8:13
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1:1,13:8,,,,17:16,1:1,,,13:8,8:13,16:17,8:13
,,,,,,,,,,,,,,
,,1:1,11:8,,,,,1:1,,,11:8,8:11,,8:11
,,,,,,,,,,,,,,
,,1:1,,,,,,1:1,,,,,,
,,,,,,,,,,,,,,
,11:8,17:16,,8:11,,,,16:17,,,,,,
,,,,,,,,,,,,,,
,2:1,,19:8,1:2,,,19:16,,,,,8:19,16:19,
,,,,,,,,,,,,,,
,13:8,,,8:13,,,19:16,,,,,,16:19,
,,,,,,,19:16,,,,,,16:19,
,,1:1,13:8,,,,,1:1,,,13:8,8:13,,8:13
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,1:1,13:8,,,,17:16,1:1,,,13:8,8:13,16:17,8:13
,,,,,,,,,,,,,,
,,1:1,11:8,,,,,1:1,,,11:8,8:11,,8:11
,,,,,,,,,,,,,,
,,1:1,11:8,,,,17:16,1:1,,,11:8,8:11,16:17,8:11
,,,,,,,,,,,,,,
,11:8,17:16,,8:11,,,17:16,16:17,,,11:8,,16:17,8:11
,2:1,,17:8,1:2,,,17:16,,,,11:8,8:17,16:17,8:11
,2:1,2:1,17:8,1:2,,1:1,17:16,1:2,1:1,,17:16,8:17,16:17,16:17
,11:8,11:8,,8:11,,1:1,17:16,8:11,1:1,,17:16,,16:17,16:17
,1:1,1:1,19:16,1:1,,1:1,19:16,1:1,1:1,,19:16,16:19,16:19,16:19
,,,,,,,,,,,,,,
,19:16,1:1,,16:19,,16:19,16:13,1:1,19:16,,,,13:16,
,,13:16,19:16,,,16:19,16:13,16:13,19:16,,,16:19,13:16,
,,,,,,16:19,16:13,,19:16,,,,13:16,
,,,,,,16:19,16:13,,19:16,,,,13:16,
